R - repetição,,"O experimento avaliou o número de insetos vivos e mortos, em 50 - 110 - 150 e 190 dias, considerando duas cultivares de milho: BR2121 (alto valor protéico) e BR3123 (normal). ",,,,,,,,,,,,
I - inseto,,"O milho foi infestado, em recipientes individuais, com 0, 10, 20 e 30 insetos.",,,,,,,,,,,,
M - manual,,"O milho foi colhido manualmente, M, a 700 rpm, 600 rpm, e 500 rpm, reguladas na colhedora/trilhadora de milho.",,,,,,,,,,,,
A - 700 rpm,,,,,,,,,,,,,,
B - 600 rpm,,2 cutlivares x 4 insetos x 4 rotações x 5 tempos de avaliação = 160 x 3 repetições = 480,,,,,,,,,,,,
C - 500 rpm,,a planilha contém 4 insetos x 4 rotações x 3 repetições = 48 (linhas),,,,,,,,,,,,
,,"a planilha contém 4 inervalos de tempo, em colunas, pois considera-se que o tempo inicial 0 serão 0, 10 20 e 40 insetos.",,,,,,,,,,,,
,,,,,,,,,,,,,,
,TRIBOLIUM CASTANEUM - VIDROS MENORES,,,,,,,,,,,,,
,,27/08/98 (50),,,,28/10/98 (110),,,(150),,,(190),,
,Repetição 1,BR2121,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r
0,I1M,R1M,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!
10,I2M,R2M,10,-,"0,00000",12,1,"0,00166",13,2,"0,00175",11,4,"0,00050"
20,I3M,R3M,20,-,"0,00000",25,2,"0,00203",16,12,"-0,00149",15,21,"-0,00151"
40,I4M,R4M,38,2,"-0,00103",34,6,"-0,00148",14,33,"-0,00700",11,37,"-0,00679"
,,,,,,,,,,,,,,
,,27/08/98 (50),,,,28/10/98 (110),,,(150),,,(190),,
,Repetição 1,BR2121,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r
0,I1A,R1A,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!,traças,*,#VALUE!
10,I2A,R2A,10,-,"0,00000",24,3,"0,00796",20,12,"0,00462",28,19,"0,00542"
20,I3A,R3A,18,2,"-0,00211",46,5,"0,00757",56,8,"0,00686",60,18,"0,00578"
40,I4A,R4A,37,3,"-0,00156",35,8,"-0,00121",33,18,"-0,00128",36,34,"-0,00055"
,,,,,,,,,,,,,,
,,27/08/98 (50),,,,28/10/98 (110),,,(150),,,(190),,
,Repetição 1,BR2121,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r
0,I1B,R1B,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!
10,I2B,R2B,9,1,"-0,00211",32,2,"0,01057",41,4,"0,00941",44,10,"0,00780"
20,I3B,R3B,20,1,"0,00000",33,2,"0,00455",42,7,"0,00495",57,13,"0,00551"
40,I4B,R4B,39,1,"-0,00051",41,6,"0,00022",58,11,"0,00248",64,23,"0,00247"
,,,,,,,,,,,,,,
,,27/08/98 (50),,,,28/10/98 (110),,,(150),,,(190),,
,repetição 1,BR2121,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r
0,R1I1C,U1R1C,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!
10,I2C,R2C,10,-,"0,00000",30,3,"0,00999",41,6,"0,00941",46,12,"0,00803"
20,I3C,R3C,20,-,"0,00000",38,1,"0,00584",50,6,"0,00611",51,13,"0,00493"
40,I4C,R4C,40,-,"0,00000",37,3,"-0,00071",50,14,"0,00149",47,30,"0,00085"
,,,,,,,,,,,,,,
,,27/08/98 (50),,,,28/10/98 (110),,,(150),,,(190),,
,Repetição 2,BR2121,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r
0,R2I1M,U2R1M,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!
10,I2M,R2M,9,1,"-0,00211",15,1,"0,00369",19,4,"0,00428",14,11,"0,00177"
20,I3M,R3M,20,-,"0,00000",19,1,"-0,00047",18,8,"-0,00070",8,18,"-0,00482"
40,I4M,R4M,39,1,"-0,00051",34,11,"-0,00148",19,28,"-0,00496",10,40,"-0,00730"
,,,,,,,,,,,,,,
,,27/08/98 (50),,,,28/10/98 (110),,,(150),,,(190),,
,Repetição 2,BR2121,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r
0,R2I1A,U2R1A,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!
10,I2A,R2A,10,0,"0,00000",24,1,"0,00796",28,4,"0,00686",33,5,"0,00628"
20,I3A,R3A,19,1,"-0,00103",32,4,"0,00427",37,6,"0,00410",43,16,"0,00403"
40,I4A,R4A,40,-,"0,00000",50,12,"0,00203",53,22,"0,00188",47,42,"0,00085"
,,,,,,,,,,,,,,
,,27/08/98 (50),,,,28/10/98 (110),,,(150),,,(190),,
,repetição 2,BR2121,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r
0,R2I1B,U2R1B,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!
10,I2B,R2B,8,2,"-0,00446",19,7,"0,00584",15,12,"0,00270",12,19,"0,00096"
20,I3B,R3B,20,-,"0,00000",25,2,"0,00203",26,4,"0,00175",35,14,"0,00295"
40,I4B,R4B,38,2,"-0,00103",35,9,"-0,00121",44,20,"0,00064",31,36,"-0,00134"
,,,,,,,,,,,,,,
,,27/08/98 (50),,,,28/10/98 (110),,,(150),,,(190),,
,Repetição 2,BR2121,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r
0,R2I1C,U2R1C,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!
10,I2C,R2C,10,-,"0,00000",33,1,"0,01085",34,3,"0,00816",31,7,"0,00595"
20,I3C,R3C,18,2,"-0,00211",29,10,"0,00338",36,22,"0,00392",29,31,"0,00196"
40,I4C,R4C,40,-,"0,00000",38,7,"-0,00047",55,14,"0,00212",35,29,"-0,00070"
,,,,,,,,,,,,,,
,,27/08/98 (50),,,,28/10/98 (110),,,(150),,,(190),,
,Repetição 3,BR2121,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r
0,R3I1M,U3R1M,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!
10,I2M,R2M,10,-,"0,00000",18,1,"0,00534",29,2,"0,00710",40,6,"0,00730"
20,I3M,R3M,20,-,"0,00000",29,3,"0,00338",30,11,"0,00270",30,13,"0,00213"
40,I4M,R4M,36,4,"-0,00211",42,6,"0,00044",49,19,"0,00135",36,39,"-0,00055"
,,,,,,,,,,,,,,
,,27/08/98 (50),,,,28/10/98 (110),,,(150),,,(190),,
,Repetição 3,BR2121,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r
0,R3I1A,U3R1A,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!
10,I2A,R2A,10,-,"0,00000",18,1,"0,00534",29,2,"0,00710",40,6,"0,00730"
20,I3A,R3A,20,-,"0,00000",29,3,"0,00338",30,11,"0,00270",30,13,"0,00213"
40,I4A,R4A,36,4,"-0,00211",42,6,"0,00044",49,19,"0,00135",36,39,"-0,00055"
,,,,,,,,,,,,,,
,,27/08/98 (50),,,,28/10/98 (110),,,(150),,,(190),,
,Repetição 3,BR2121,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r
0,R3I1B,U3R1B,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!
10,I2B,R2B,10,-,"0,00000",20,1,"0,00630",17,4,"0,00354",17,8,"0,00279"
20,I3B,R3B,20,-,"0,00000",23,1,"0,00127",27,8,"0,00200",28,14,"0,00177"
40,I4B,R4B,40,-,"0,00000",41,2,"0,00022",42,12,"0,00033",33,36,"-0,00101"
,,,,,,,,,,,,,,
,,27/08/98 (50),,,,28/10/98 (110),,,(150),,,(190),,
,Repetição 3,BR2121,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r
0,R3I1C,U3R1C,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!
10,I2C,R2C,10,-,"0,00000",13,1,"0,00239",11,3,"0,00064",7,7,"-0,00188"
20,I3C,R3C,20,-,"0,00000",19,4,"-0,00047",32,11,"0,00313",35,15,"0,00295"
40,I4C,R4C,38,2,"-0,00103",36,5,"-0,00096",43,19,"0,00048",38,30,"-0,00027"
