,Cultivar,N0,Rotacao_RPM,Tempo_Dias,Taxa_r
0,QPM,10,0,50,0.0
1,QPM,10,0,110,0.00166
2,QPM,10,0,150,0.00175
3,QPM,10,0,190,0.0005
4,QPM,20,0,50,0.0
5,QPM,20,0,110,0.00203
6,QPM,20,0,150,-0.00149
7,QPM,20,0,190,-0.00151
8,QPM,40,0,50,-0.00103
9,QPM,40,0,110,-0.00148
10,QPM,40,0,150,-0.007
11,QPM,40,0,190,-0.00679
12,QPM,10,700,50,0.0
13,QPM,10,700,110,0.00796
14,QPM,10,700,150,0.00462
15,QPM,10,700,190,0.00542
16,QPM,20,700,50,-0.00211
17,QPM,20,700,110,0.00757
18,QPM,20,700,150,0.00686
19,QPM,20,700,190,0.00578
20,QPM,40,700,50,-0.00156
21,QPM,40,700,110,-0.00121
22,QPM,40,700,150,-0.00128
23,QPM,40,700,190,-0.00055
24,QPM,10,600,50,-0.00211
25,QPM,10,600,110,0.01057
26,QPM,10,600,150,0.00941
27,QPM,10,600,190,0.0078
28,QPM,20,600,50,0.0
29,QPM,20,600,110,0.00455
30,QPM,20,600,150,0.00495
31,QPM,20,600,190,0.00551
32,QPM,40,600,50,-0.00051
33,QPM,40,600,110,0.00022
34,QPM,40,600,150,0.00248
35,QPM,40,600,190,0.00247
36,QPM,10,500,50,0.0
37,QPM,10,500,110,0.00999
38,QPM,10,500,150,0.00941
39,QPM,10,500,190,0.00803
40,QPM,20,500,50,0.0
41,QPM,20,500,110,0.00584
42,QPM,20,500,150,0.00611
43,QPM,20,500,190,0.00493
44,QPM,40,500,50,0.0
45,QPM,40,500,110,-0.00071
46,QPM,40,500,150,0.00149
47,QPM,40,500,190,0.00085
48,QPM,10,0,50,-0.00211
49,QPM,10,0,110,0.00369
50,QPM,10,0,150,0.00428
51,QPM,10,0,190,0.00177
52,QPM,20,0,50,0.0
53,QPM,20,0,110,-0.00047
54,QPM,20,0,150,-0.0007
55,QPM,20,0,190,-0.00482
56,QPM,40,0,50,-0.00051
57,QPM,40,0,110,-0.00148
58,QPM,40,0,150,-0.00496
59,QPM,40,0,190,-0.0073
60,QPM,10,700,50,0.0
61,QPM,10,700,110,0.00796
62,QPM,10,700,150,0.00686
63,QPM,10,700,190,0.00628
64,QPM,20,700,50,-0.00103
65,QPM,20,700,110,0.00427
66,QPM,20,700,150,0.0041
67,QPM,20,700,190,0.00403
68,QPM,40,700,50,0.0
69,QPM,40,700,110,0.00203
70,QPM,40,700,150,0.00188
71,QPM,40,700,190,0.00085
72,QPM,10,600,50,-0.00446
73,QPM,10,600,110,0.00584
74,QPM,10,600,150,0.0027
75,QPM,10,600,190,0.00096
76,QPM,20,600,50,0.0
77,QPM,20,600,110,0.00203
78,QPM,20,600,150,0.00175
79,QPM,20,600,190,0.00295
80,QPM,40,600,50,-0.00103
81,QPM,40,600,110,-0.00121
82,QPM,40,600,150,0.00064
83,QPM,40,600,190,-0.00134
84,QPM,10,500,50,0.0
85,QPM,10,500,110,0.01085
86,QPM,10,500,150,0.00816
87,QPM,10,500,190,0.00595
88,QPM,20,500,50,-0.00211
89,QPM,20,500,110,0.00338
90,QPM,20,500,150,0.00392
91,QPM,20,500,190,0.00196
92,QPM,40,500,50,0.0
93,QPM,40,500,110,-0.00047
94,QPM,40,500,150,0.00212
95,QPM,40,500,190,-0.0007
96,QPM,10,0,50,0.0
97,QPM,10,0,110,0.00534
98,QPM,10,0,150,0.0071
99,QPM,10,0,190,0.0073
100,QPM,20,0,50,0.0
101,QPM,20,0,110,0.00338
102,QPM,20,0,150,0.0027
103,QPM,20,0,190,0.00213
104,QPM,40,0,50,-0.00211
105,QPM,40,0,110,0.00044
106,QPM,40,0,150,0.00135
107,QPM,40,0,190,-0.00055
108,QPM,10,700,50,0.0
109,QPM,10,700,110,0.00534
110,QPM,10,700,150,0.0071
111,QPM,10,700,190,0.0073
112,QPM,20,700,50,0.0
113,QPM,20,700,110,0.00338
114,QPM,20,700,150,0.0027
